id,strand,year,authors,title,venue,doi,oa_url,oa_status,finding
A01,A,1970,"Spady, W.G.","Dropouts from higher education: An interdisciplinary review and synthesis","Interchange 1:64-85",10.1007/BF02214313,,paywalled,"First sociological (Durkheimian) dropout model"
A02,A,1971,"Spady, W.G.","Dropouts from higher education: Toward an empirical model","Interchange 2:38-62",10.1007/BF02282469,,paywalled,"Empirical test; social integration and grades drive departure"
A03,A,1975,"Tinto, V.","Dropout from higher education: A theoretical synthesis of recent research","Review of Educational Research 45(1):89-125",10.3102/00346543045001089,,paywalled,"Student integration model"
A04,A,1980,"Pascarella, E.T.; Terenzini, P.T.","Predicting freshman persistence and voluntary dropout decisions from a theoretical model","Journal of Higher Education 51(1):60-75",10.1080/00221546.1980.11780030,,paywalled,"Tinto-based scales classify 78.5% correctly; faculty contact key"
A05,A,1980,"Bean, J.P.","Dropouts and turnover: The synthesis and test of a causal model of student attrition","Research in Higher Education 12:155-187",10.1007/BF00976194,http://digitalwolfgram.widener.edu/digital/api/collection/p16069coll41/id/57442/download,OA copy 3rd-party (verify),"Organizational-turnover model of attrition"
A06,A,1984,"Astin, A.W.","Student involvement: A developmental theory for higher education","Journal of College Student Personnel 25:297-308",,http://chawkinson.pbworks.com/w/file/fetch/122997693/Student_Involvement_A_Development_Theory_for_Highe.pdf,OA copy 3rd-party,"Involvement (energy invested) drives learning and persistence"
A07,A,1985,"Bean, J.P.; Metzner, B.S.","A conceptual model of nontraditional undergraduate student attrition","Review of Educational Research 55(4):485-540",10.3102/00346543055004485,,paywalled,"External environment dominates for nontraditional students"
A08,A,1992,"Tierney, W.G.","An anthropological analysis of student participation in college","Journal of Higher Education 63(6):603-618",verify,,paywalled,"Critique of assimilationist integration model"
A09,A,1992,"Cabrera, A.F.; Nora, A.; Castaneda, M.B.","The convergence between two theories of college persistence","Journal of Higher Education 63(2)",verify,,verify,"Tinto and Bean models complementary"
A10,A,1993,"Cabrera, A.F.; Nora, A.; Castaneda, M.B.","College persistence: Structural equations modeling test of an integrated model of student retention","Journal of Higher Education 64(2):123-139",verify,,paywalled,"Integrated model incl. finances"
A11,A,1993,"Tinto, V.","Leaving College: Rethinking the Causes and Cures of Student Attrition (2nd ed.)","University of Chicago Press",,https://archive.org/details/leavingcollegere0000tint,paywalled (IA lending),"Canonical interactionalist theory"
A12,A,2004,"Braxton, J.M.; Hirschy, A.S.; McClendon, S.A.","Understanding and Reducing College Student Departure","ASHE-ERIC Higher Education Report 30(3)",,,paywalled,"Revised theory for residential and commuter institutions"
A13,A,2004,"Yorke, M.; Longden, B.","Retention and Student Success in Higher Education","SRHE/Open University Press",,,paywalled,"International policy/practice perspective"
A14,A,2006,"Kuh, G.D.; Kinzie, J.; Buckley, J.A.; Bridges, B.K.; Hayek, J.C.","What Matters to Student Success: A Review of the Literature","NPEC commissioned report",,https://www.yorku.ca/retentn/rdata/whatmatterstostudentsuccess.pdf,OA,"Engagement + institutional conditions framework"
A15,A,2008,"Kuh, G.D.","High-Impact Educational Practices: What They Are, Who Has Access to Them, and Why They Matter","AAC&U",,https://navigate.utah.edu/_resources/documents/hips-kuh-2008.pdf,OA copy (institutional host),"10 HIPs linked to engagement and retention"
A16,A,2012,"Tinto, V.","Completing College: Rethinking Institutional Action","University of Chicago Press",,https://press.uchicago.edu/books/excerpt/2012/tinto_completing_college.html,paywalled (excerpt OA),"Expectations/support/feedback/involvement"
A17,A,2012,"Thomas, L.","Building student engagement and belonging in higher education at a time of change (What Works? final report)","Paul Hamlyn Foundation/HEFCE/HEA",,https://www.advance-he.ac.uk/knowledge-hub/building-student-engagement-and-belonging-higher-education-time-change-final-report,OA,"Belonging via academic sphere central to retention"
A18,A,2017,"Tinto, V.","Through the eyes of students","Journal of College Student Retention 19(3):254-269",10.1177/1521025115621917,,paywalled,"Persistence as student motivation: self-efficacy, belonging, curriculum value"
A19,A,2017,"Tinto, V.","Reflections on student persistence","Student Success 8(2)",,https://studentsuccessjournal.org/article/view/495,OA,"OA companion to student-motivation view"
B01,B,2004,"Robbins, S.B.; Lauver, K.; Le, H.; Davis, D.; Langley, R.; Carlstrom, A.","Do psychosocial and study skill factors predict college outcomes? A meta-analysis","Psychological Bulletin 130(2):261-288",10.1037/0033-2909.130.2.261,,paywalled,"Academic goals, self-efficacy, skills predict retention"
